Breakfast Menu List,Serving size,Calories,Fat (G),Sat. Fat (G),Trans Fat (G),Cholesterol (MG),Sodium (MG),Carbohydrates (G),Fiber (G),Sugar (G),Protein (G),,,,,,,,,,,
Breakfast,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Chicken Biscuit,153g,460,23,8,0,45,1510,45,2,6,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Chicken Biscuit,153g,450,22,8,0,40,1570,44,2,5,19,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A Chick-n-Minis®,127g,360,13,4,0,60,1060,41,2,8,20,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Egg White Grill,172g,300,8,4,0,65,990,29,1,2,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hash Brown Scramble Burrito,304g,700,40,12,0.5,415,1770,51,3,2,34,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hash Brown Scramble Bowl,233g,470,30,9,0,415,1350,19,2,2,29,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Chicken, Egg & Cheese Biscuit",211g,550,28,12,0,215,1870,48,3,7,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Bacon, Egg & Cheese Biscuit",145g,420,23,11,0,180,1220,38,2,4,15,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sausage, Egg & Cheese Biscuit",192g,620,42,18,0,205,1510,38,2,4,22,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Chicken, Egg & Cheese Muffin",187g,410,18,6,0,215,1320,36,1,4,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Bacon, Egg & Cheese Muffin",126g,300,13,6,0,180,780,28,1,2,16,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Sausage, Egg & Cheese Muffin",173g,490,32,13,0,205,1000,29,1,1,23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Hash Browns,77g,270,18,2.5,0,0,440,23,3,0,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Berry Parfait,206g,270,9,3.5,0,20,85,35,1,26,13,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Fruit Cup,125g,70,0,0,0,0,0,16,2,12,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Breakfast Breads,81g,290,15,6,0,0,760,37,2,4,4,,,,,,,,,,,
Entrées Menu List,,,,,,,,,,,,,,,,,,,,,,
Entrées,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Smokehouse BBQ Bacon Sandwich w/ Chick-fil-A® Filet,260g,670,31,11,0,110,1930,57,3,12,41,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Smokehouse BBQ Bacon Sandwich w/ Grilled Filet,229g,520,21,9,0,110,1190,46,3,12,38,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Smokehouse BBQ Bacon Sandwich w/ Spicy Filet,265g,690,33,11,0,105,2200,61,3,13,40,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Chicken Sandwich,183g,420,18,3.5,0,70,1460,41,1,6,29,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Deluxe Sandwich,247g,490,22,6,0,85,1700,43,1,7,32,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Chicken Sandwich,188g,450,19,4,0,65,1730,45,1,6,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Spicy Deluxe Sandwich,259g,540,26,8,0,85,1880,47,2,7,34,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Grilled Chicken Sandwich,206g,390,11,2.5,0,75,765,45,3,11,28,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Grilled Chicken Club Sandwich,237g,520,22,8,0,105,1055,45,3,12,37,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A® Nuggets,113g,250,11,2.5,0,85,1210,11,0,1,27,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Grilled Nuggets,95g,130,3,0.5,0,85,440,1,0,1,25,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A Chick-n-Strips®,136g,310,14,2.5,0,75,870,16,0,2,29,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Chick-fil-A Cool Wrap®,231g,660,45,9,0,110,1420,32,14,5,43,,,,,,,,,,,
