Category,Item Name,Serving Size (g),Energy (KJ),Energy (Kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugar (g),Fibre (g),Protein (g),Salt (g)
"""""","""Butter Croissant",58g,1046,250,13,9,28,4.4,1.1,4.8,"0.57"""
"""""","""Cinnamon Swirl",120g,1632,387,7.6,3.1,67,25,3.1,11,"0.47"""
"""""","""Luxury Fruit Bread",145g,2072,491,11,4.5,84,38,4.1,12,"0.26"""
"""""","""Fruit Scone",95g,1216,289,9,3.6,44,15,1.57,6.7,"0.65"""
"""""","""Almond Croissant",85g,1434,343,18,7,37,13,1.4,7,"0.66"""
"""""","""Chocolate Twist",84g,1229,294,13,8,38,15,1.9,5.4,"0.7"""
"""""","""Chocolate & Hazelnut Croissant",80g,1497,358,19,10,40,14,1.9,5.4,"0.56"""
"""""","""Triple Chocolate Muffin",107g,1801,431,23.4,5.3,50.6,34.5,2.8,5.1,"0.41"""
"""""","""Blueberry Muffin",110g,1544,373,17.5,1.9,50.2,27.7,1.3,5.3,"0.94"""
"""""","""Lemon Muffin",110g,1655,395,18.8,2.9,52.1,32.4,1.3,5.4,"0.51"""
"""""","""Chocolate Chunk Cookie",76g,1417,338,15,9,45,25,2,4.4,"0.54"""
"""""","""Viennesse Whirl",73g,1508,361,21,13.4,37.9,23.7,1,3.7,"0.43"""
"""""","""Pistachio & Raspberry Cookie",80g,1396,332,13,6.4,49,32,1,4.2,"0.53"""
"""""","""Elderflower & Lemon Cookie Sandwich",92g,1690,404,19,12.9,53,34,1,3.8,"0.38"""
"""""","""Strawberry & Cream Viennese Swirl",65g,1341,321,18,12.5,35,20,0.7,3,"0.4"""
"""""","""Triple Chocolate Cookies & Cream",90g,1634,390,18,10,51,34,1.5,5.3,"1.8"""
"""""","""Carrot Cake Loaf",100g,1634,390,18,3.3,51,31,3.3,4.4,"0.73"""
"""""","""Chocolate Orange Slice",75g,1465,350,19,5.9,40,26,1.4,3.3,"0.31"""
"""""","""Raspberry & Coconut Loaf",100g,1694,405,20,5,49,31,1.5,6.4,"0.64"""
"""""","""Pistachio & White Chocolate Loaf Cake",95g,1803,432,25,7.9,43,26,2.4,7.5,"0.53"""
"""""","""Matcha & Strawberry Loaf",85g,1703,407,23,7.9,46,31,0.9,3.4,"0.3"""
"""""","""Fifteens",86g,1511,361,16,8.5,52,31,2.3,4.6,"0.5"""
"""""","""Fifteens (New recipe)",90g,1256,300,13,6.8,47,23,1.9,3.1,"0.24"""
"""""","""White Twizzle Stick",48g,855,203,5,3,38,29,0.1,1,"0.04"""
"""""","""White Twizzle Stick (New recipe)",40g,646,153,2.3,2.3,33,24,0.1,0.6,"0.03"""
"""""","""Milk Twizzle Stick",42g,748,178,5,3,31,29,0.2,2,"0.04"""
"""""","""Milk Twizzle Stick (New recipe)",36g,642,153,5,4.6,26.6,22,0.1,1,"0.6"""
"""""","""Teaser Slice",100g,2115,502,27,16,59,38,2.1,4.9,"0.74"""
"""""","""Pink Pop",34g,719,172,9.9,4.8,19,8.5,0.5,1.7,"0.21"""
"""""","""Cookies & Cream Pop",34g,701,168,9.5,5.1,19,14,0.5,1.5,"0.21"""
"""""","""Apple & Caramel Crumble Tartlet",90g,"1,297",310,14,7.3,44,21,1.4,2.6,"0.29"""
"""""","""Caramelised Bickie Brookie",70g,"1,091",260,13,8.2,31,20.5,1.2,2.7,"0.29"""
"""""","""S'mores Brownie",90g,"1,640",392,19,9.3,49,37,1.2,4.2,"0.39"""
"""""","""Caramelised Biscuit Cake",95g,"2,146",514,32,16,53,40,1.2,4.6,"0.46"""
"""""","""Millionaire Shortbread",110g,"2,254",539,29,17,64,41,1.1,5.8,"0.54"""
"""""","""Coffee & Caramel Brownie",110g,"2,117",505,26,16,61,48,1.4,4,"0.39"""
"""""","""Bakewell Macaroon Tartlet",80g,"1,447",345,12.9,5.4,51.3,31.2,1.6,5,"0.19"""
"""""","""Toffee Popcorn Tiffin",80g,"1,672",400,21,15,48,37,0.6,3.7,"0.36"""
"""""","""Raspberry Ruffle",92g,"1,587",380,24.8,18.1,34.7,27.4,4,4.2,"0.28"""
"""""","""Easter Crispie",80g,1816,436,29,17,38,28,1.9,4.8,"0.6"""
"""""","""Salted Caramel Florentine",80g,1403,336,21,11,32,17,1.6,4.5,"0.26"""
"""""","""Lemon & White Chocolate Tartlet",86g,1280,307,18,9.9,33.4,26,0.2,2.5,"0.18"""
