Unnamed: 0,State,Top Rated Chain,Best Iconic Chain,Favorite Breakfast,Most Searched For
,Alabama,Daylight Donuts,Milo's,Chick-Fil-A,1. Dominos 2. Chick-Fil-A 3. Pizza Hut
,Alaska,Papa Murphy's Take 'N' Bake Pizza,Arctic Roadrunner,,1. McDonald's 2. Dominos 3. Taco Bell
,Arizona,LaMar's Donuts & Coffee,Eegee's,McDonald's,1. McDonald's 2. Starbucks 3. Chick-Fil-A
,Arkansas,Chick-Fil-A,Slim Chickens,McDonald's,1. Dominos 2. Dominos (again) 3. McDonald's
,California,In-N-Out,In-N-Out,McDonald's,1. Starbucks 2. McDonald's 3. Chick-Fil-A
,Colorado,LaMar's Donuts & Coffee,Good Times,Chick-Fil-A,1. Starbucks 2. McDonald's 3. Dominos
,Connecticut,Chick-Fil-A,Ted's Restaurant,McDonald's,1. McDonald's 2. Starbucks 3. Dominos
,Delaware,Chick-Fil-A,Capriotti's,Chick-Fil-A,1. Chick-Fil-A 2. Dominos 3. McDonald's
,District of Columbia,,,Chick-Fil-A,1. Starbucks 2. McDonald's 3. Chick-Fil-A
,Florida,Chick-Fil-A,PDQ,Chick-Fil-A,1. McDonald's 2. Chick-Fil-A 3. Starbucks
,Georgia,Daylight Donuts,Waffle House,Chick-Fil-A,1. Chick-Fil-A 2. McDonald's 3. Dominos
,Hawaii,Raisinig Cane's Chicken Fingers,Zippy's,McDonald's,1. McDonald's 2. Starbucks 3. Pizza Hut
,Idaho,Chick-Fil-A,Westside Drive-In,McDonald's,1. Dominos 2. McDonald's 3. Pizza Hut
,Illinois,Papa Murphy's Take 'N' Bake Pizza,Portillo's,McDonald's,1. McDonald's 2. Starbucks 3. Dominos
,Indiana,Chick-Fil-A,Schoop's Hamburgers,McDonald's,1. McDonald's 2. Pizza Hut 3. Papa John's
,Iowa,Chick-Fil-A,Maid-Rite,Burger King,1. McDonald's 2. Pizza Hut 3. Dominos
,Kansas,Chick-Fil-A,Spangles,McDonald's,1. Pizza Hut 2. McDonald's 3. Starbucks
,Kentucky,Chick-Fil-A,Fazoli's,Burger King,1. Papa Johns 2. McDonald's 3. Dominos
,Louisiana,Chick-Fil-A,Raising Cane's,McDonald's,1. Dominos 2. Pizza Hut 3. McDonald's
,Maine,Chick-Fil-A,Gifford's,McDonald's,1. Dominos 2. McDonald's 3. Starbucks
,Maryland,Chick-Fil-A,Chaps Pit Beef,Chick-Fil-A,1. McDonald's 2. Chick-Fil-A 3. Dominos
,Massachusetts,Chick-Fil-A,Dunkin',McDonald's,1. McDonald's 2. Starbucks 3. Dominos
,Michigan,Chick-Fil-A,National Coney Island,McDonald's,1. McDonald's 2. Little Caesars 3. Taco Bell
,Minnesota,Chick-Fil-A,MyBurger,McDonald's,1. McDonald's 2. Dominos 3. Starbucks
